video_id,skill_id,batch_id
J1jhfAw5Uvo,tensorflow_image_classification,2025-11-07-static-v1
44U8jJxaNp8,tensorflow_image_classification,2025-11-07-static-v1
LsdxvjLWkIY,tensorflow_image_classification,2025-11-07-static-v1
CLHk6DniYg0,tensorflow_image_classification,2025-11-07-static-v1
dFdMyUbtKM4,tensorflow_image_classification,2025-11-07-static-v1
V61xy1ZnVTM,tensorflow_image_classification,2025-11-07-static-v1
tOpAcWNr6cQ,tensorflow_image_classification,2025-11-07-static-v1
yOXHbRR4IRk,tensorflow_image_classification,2025-11-07-static-v1
VIYnV5zXals,tensorflow_image_classification,2025-11-07-static-v1
pYVScuY-GPk,feature_engineering,2025-11-07-static-v1
Bg3CjiJ67Cc,feature_engineering,2025-11-07-static-v1
uu8um0JmYA8,feature_engineering,2025-11-07-static-v1
ft77eXtn30Q,feature_engineering,2025-11-07-static-v1
GduT2ZCc26E,feature_engineering,2025-11-07-static-v1
d12ra3b_M-0,feature_engineering,2025-11-07-static-v1
hCwTDTdYirg,feature_engineering,2025-11-07-static-v1
xhB-dmKmzRk,feature_engineering,2025-11-07-static-v1
X4pWmkxEikM,feature_engineering,2025-11-07-static-v1
PeMlggyqz0Y,feature_engineering,2025-11-07-static-v1
ABV2YS9jbzE,feature_engineering,2025-11-07-static-v1
LHWFu___jgw,feature_engineering,2025-11-07-static-v1
sluoVhT0ehg,feature_engineering,2025-11-07-static-v1
vsKNxbP8R_8,feature_engineering,2025-11-07-static-v1
uROvhp7cj6Q,feature_engineering,2025-11-07-static-v1
ZAaNMWDi8Ds,feature_engineering,2025-11-07-static-v1
fHFOANOHwh8,feature_engineering,2025-11-07-static-v1
E0Hmnixke2g,feature_engineering,2025-11-07-static-v1
WElBhXr9B7c,feature_engineering,2025-11-07-static-v1
gX7lV-pokn4,feature_engineering,2025-11-07-static-v1
DkLQtGqQedo,feature_engineering,2025-11-07-static-v1
BdL-cKUG4hE,feature_engineering,2025-11-07-static-v1
FUB1KlhqH58,feature_engineering,2025-11-07-static-v1
AnZWCB1gpfE,feature_engineering,2025-11-07-static-v1
3R5mfnzGAQk,feature_engineering,2025-11-07-static-v1
krCoPfnduzU,feature_engineering,2025-11-07-static-v1
U_kn7U-eZRw,feature_engineering,2025-11-07-static-v1
vW8Ykd2nCCk,feature_engineering,2025-11-07-static-v1
AU_hBML2H1c,feature_engineering,2025-11-07-static-v1
jM3tBsLYRdY,feature_engineering,2025-11-07-static-v1
jql3TvWuCJs,feature_engineering,2025-11-07-static-v1
JviZB2d64KU,feature_engineering,2025-11-07-static-v1
ivvxfWR1azI,feature_engineering,2025-11-07-static-v1
Bm2eATh8OZ8,feature_engineering,2025-11-07-static-v1
zY4Hu998lFE,feature_engineering,2025-11-07-static-v1
yJcIDIPOlA0,feature_engineering,2025-11-07-static-v1
FwbXHY8KCUw,feature_engineering,2025-11-07-static-v1
oEKg_jiV1Ng,feature_engineering,2025-11-07-static-v1
RZvPgSiOYas,feature_engineering,2025-11-07-static-v1
zlsTPVFw2_M,feature_engineering,2025-11-07-static-v1
2JB_yJPlvP8,feature_engineering,2025-11-07-static-v1
Fn1Hpt70K4g,feature_engineering,2025-11-07-static-v1
YRCLmV4t9lI,feature_engineering,2025-11-07-static-v1
NKakENiEaPs,feature_engineering,2025-11-07-static-v1
a0bw8EeAxc8,feature_engineering,2025-11-07-static-v1
4-4pKPv9lJ4,feature_engineering,2025-11-07-static-v1
XdX8xIJpemc,feature_engineering,2025-11-07-static-v1
